Warning: truncated output (original token count: 28163)
Total output lines: 1213

date,cash,market_value,positions,return,drawdown
2020-01-03,1000000.0,1000000.0,0,0.0,0.0
2020-01-06,96943.02710888488,1017804.0271088849,19,0.017804027108884846,0.0
2020-01-07,96943.02710888488,1013866.0271088849,19,-0.0038691141861425526,-0.0038691141861425526
2020-01-08,96943.02710888488,1012854.0271088849,19,-0.000998159493405426,-0.0048634116864920696
2020-01-09,96943.02710888488,1002404.0271088849,19,-0.010317380116292463,-0.015130614135753007
2020-01-10,96943.02710888488,986646.0271088849,19,-0.015720208193345853,-0.03061296592479168
2020-01-13,30363.020234089818,999928.0202340898,20,0.013461761118244597,-0.01756330924094751
2020-01-14,30363.020234089818,994603.0202340898,20,-0.005325383319844779,-0.022795161206719206
2020-01-15,30363.020234089818,984958.0202340898,20,-0.009697336327945116,-0.03227144518979308
2020-01-16,30363.020234089818,982534.0202340898,20,-0.0024610185918623184,-0.03465304315505713
2020-01-17,30363.020234089818,970047.0202340898,20,-0.012708974694865982,-0.04692161320136534
2020-01-20,55241.99588749971,977882.9958874998,20,0.008077933842340013,-0.03922270904624192
2020-01-21,55241.99588749971,989722.9958874998,20,0.012107787996921138,-0.027589821295117556
2020-01-22,55241.99588749971,991413.9958874998,20,0.001708558866497345,-0.02592840126241891
2020-01-23,55241.99588749971,977483.9958874998,20,-0.014050638842888263,-0.03961472950339551
2020-02-03,55241.99588749971,944138.9958874998,20,-0.034113090485665354,-0.07237643913694636
2020-02-04,55241.99588749971,946382.9958874998,20,0.0023767686853042314,-0.07017169250573663
2020-02-05,55241.99588749971,978207.9958874998,20,0.03362803446204676,-0.038903394137532854
2020-02-06,55241.99588749971,1013940.9958874998,20,0.03652904101195831,-0.0037954568055288407
2020-02-07,55241.99588749971,1027059.9958874998,20,0.01293862271395474,0.0
2020-02-10,138532.56349825443,1045430.5634982544,19,0.017886557439987127,0.0
2020-02-11,138532.56349825443,1036245.5634982544,19,-0.008785853714918024,-0.008785853714918024
2020-02-12,138532.56349825443,1050244.5634982544,19,0.013509346136779454,0.0
2020-02-13,138532.56349825443,1031678.5634982544,19,-0.017677787293807645,-0.017677787293807645
2020-02-14,138532.56349825443,1023253.5634982544,19,-0.008166303244134698,-0.025699728366215813
2020-02-17,104523.4073060244,994954.4073060243,18,-0.02765605437569374,-0.05264502965677287
2020-02-18,104523.4073060244,1003625.4073060243,18,0.008714972200060789,-0.044388857426642225
2020-02-19,104523.4073060244,1013920.4073060243,18,0.010257811256128235,-0.034586378691871644
2020-02-20,104523.4073060244,1030158.4073060243,18,0.01601506378902484,-0.01912521796382849
