Warning: truncated output (original token count: 103038)
Total output lines: 7676

date,code,side,shares,price,fee
2020-01-06,000062,buy,500.0,99.74498700000001,14.96174805
2020-01-06,000159,buy,2300.0,21.201060000000002,14.6287314
2020-01-06,000407,buy,1000.0,45.53227650000001,13.65968295
2020-01-06,000505,buy,1600.0,29.741487000000003,14.27591376
2020-01-06,000506,buy,5300.0,9.380469000000002,14.91494571
2020-01-06,000519,buy,700.0,67.303365,14.133706649999999
2020-01-06,000525,buy,600.0,77.40387000000001,13.932696600000002
2020-01-06,000554,buy,1500.0,31.581579,14.21171055
2020-01-06,000570,buy,2200.0,22.281114000000002,14.70553524
2020-01-06,000572,buy,5000.0,9.810490500000002,14.71573575
2020-01-06,000587,buy,1600.0,30.501525000000004,14.640732000000002
2020-01-06,000599,buy,2000.0,24.241212,14.544727199999999
2020-01-06,000605,buy,1900.0,25.101255000000005,14.30771535
2020-01-06,000622,buy,1100.0,42.85214250000001,14.141207025
2020-01-06,000707,buy,5800.0,8.620431,14.999549939999998
2020-01-06,000716,buy,2900.0,17.000850000000003,14.790739500000003
2020-01-06,000731,buy,800.0,58.80294000000001,14.1127056
2020-01-06,000798,buy,3400.0,14.650732500000002,14.94374715
2020-01-06,000997,buy,200.0,170.23851150000002,10.21431069
2020-01-13,000062,sell,500.0,97.96,66.123
2020-01-13,000159,sell,2300.0,20.17,62.62785000000001
2020-01-13,000407,sell,1000.0,43.59,58.84649999999999
2020-01-13,000505,sell,1600.0,29.21,63.093599999999995
2020-01-13,000506,sell,5300.0,9.0,64.395
2020-01-13,000519,sell,700.0,65.09,61.51004999999999
2020-01-13,000525,sell,600.0,75.34,61.0254
2020-01-13,000554,sell,1500.0,31.41,63.60525
2020-01-13,000570,sell,2200.0,22.67,67.32990000000001
2020-01-13,000572,sell,5000.0,9.99,67.4325
2020-01-13,000587,sell,1600.0,28.83,62.272800000000004
2020-01-13,000599,sell,2000.0,24.34,65.718
2020-01-13,000605,sell,1900.0,25.24,64.7406
2020-01-13,000622,sell,1100.0,42.28,62.7858
2020-01-13,000707,sell,5800.0,8.1,63.423
2020-01-13,000716,sell,2900.0,15.7,61.4655
2020-01-13,000731,sell,800.0,59.84,64.6272
2020-01-13,000798,sell,3400.0,14.07,64.5813
2020-01-13,000997,sell,200.0,190.04,51.31079999999999
2020-01-13,002717,buy,500.0,82.74413700000001,12.411620549999999
2020-01-13,601858,buy,4000.0,12.120606,14.544727199999999
2020-01-13,000409,buy,4500.0,10.820541000000002,14.607730350000002
